rank,title,runtime,rating,url,popularity_score,genres,month,year,CPI
19,Interstellar,2h 49m,8.7,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_16,31,"Adventure Epic, Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Adventure, Drama, Sci-Fi",Nov,2014,119.325
176,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,1h 27m,8.7,https://www.imdb.com/title/tt16492678/?ref_=chttp_t_21,,"Anime, Action, Animation, Fantasy",Oct,2021,129.567
227,Jai Bhim,2h 44m,8.7,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_22,,"Legal Drama, Crime, Drama",Nov,2021,130.348
40,Spider-Man: Across the Spider-Verse,2h 20m,8.6,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_27,253,"Computer Animation, Superhero, Supernatural Fantasy, Teen Adventure, Urban Adventure, Action, Adventure, Animation, Family, Fantasy",Jun,2023,142.143
49,Dune: Part Two,2h 46m,8.5,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_37,61,"Action Epic, Desert Adventure, Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",Mar,2024,141.145
33,Parasite,2h 12m,8.5,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_39,240,"Dark Comedy, Korean Drama, Psychological Thriller, Tragedy, Drama, Thriller",Nov,2019,117.262
198,Maharaja,2h 21m,8.5,https://www.imdb.com/title/tt26548265/?ref_=chttp_t_48,574,"One-Person Army Action, Action, Crime, Drama, Thriller",Jun,2024,141.186
77,Avengers: Endgame,3h 1m,8.4,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_62,246,"Space Sci-Fi, Superhero, Time Travel, Tragedy, Action, Adventure, Drama, Sci-Fi",Apr,2019,118.585
85,Joker,2h 2m,8.4,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_63,266,"Psychological Drama, Psychological Thriller, Tragedy, Crime, Drama, Thriller",Oct,2019,117.78
62,Avengers: Infinity War,2h 29m,8.4,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_68,467,"Space Sci-Fi, Superhero, Action, Adventure, Sci-Fi",Apr,2018,118.133
64,Spider-Man: Into the Spider-Verse,1h 57m,8.4,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_70,619,"Computer Animation, Superhero, Supernatural Fantasy, Teen Adventure, Urban Adventure, Action, Adventure, Animation, Comedy, Family",Dec,2018,115.761
72,Coco,1h 45m,8.4,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_73,846,"Computer Animation, Supernatural Fantasy, Adventure, Animation, Drama, Family, Fantasy, Music, Mystery",Nov,2017,116.292
83,Your Name.,1h 46m,8.4,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_76,"1,021","Anime, Shōjo, Animation, Drama, Fantasy, Romance",Apr,2017,116.7
157,The Wild Robot,1h 42m,8.3,https://www.imdb.com/title/tt29623480/?ref_=chttp_t_84,70,"Computer Animation, Survival, Animation, Sci-Fi",Sep,2024,140.426
112,Oppenheimer,3h,8.3,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_85,90,"Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Biography, Drama, History",Jul,2023,142.078
128,Hamilton,2h 40m,8.3,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_102,801,"Epic, Biography, Drama, History, Musical",Jul,2020,117.439
126,Dangal,2h 41m,8.3,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_124,,"Action, Biography, Drama, Sport",Dec,2016,114.668
169,Klaus,1h 36m,8.2,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_126,84,"Hand-Drawn Animation, Holiday Animation, Holiday Comedy, Holiday Family, Adventure, Animation, Comedy, Family, Fantasy, Holiday",Nov,2019,117.262
178,Spider-Man: No Way Home,2h 28m,8.2,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_130,259,"Superhero, Supernatural Fantasy, Urban Adventure, Action, Adventure, Fantasy, Sci-Fi",Dec,2021,130.711
143,Top Gun: Maverick,2h 10m,8.2,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_131,278,"Action Epic, Epic, Action, Drama",May,2022,140.456
122,1917,1h 59m,8.2,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_142,572,"Epic, Period Drama, War Epic, Action, Drama, War",Jan,2020,117.046
132,Green Book,2h 10m,8.2,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_143,573,"Docudrama, Period Drama, Road Trip, Biography, Comedy, Drama, Music",Nov,2018,117.278
137,The Father,1h 37m,8.2,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_156,"1,361","Psychological Drama, Drama, Mystery",Feb,2021,119.792
183,Mad Max: Fury Road,2h,8.1,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_177,307,"Action Epic, Adventure Epic, Car Action, Desert Adventure, Dystopian Sci-Fi, Quest, Road Trip, Action, Adventure, Sci-Fi",May,2015,119.316
239,The Handmaiden,2h 25m,8.1,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_184,499,"Dark Romance, Erotic Thriller, Psychological Thriller, Steamy Romance, Drama, Romance, Thriller",Sep,2017,117.087
193,Gone Girl,2h 29m,8.1,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_185,511,"Erotic Thriller, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Drama, Mystery, Thriller",Oct,2014,121.149
190,The Grand Budapest Hotel,1h 39m,8.1,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_187,563,"Caper, Quirky Comedy, Adventure, Comedy, Crime",Mar,2014,121.983
167,Inside Out,1h 35m,8.1,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_188,590,"Coming-of-Age, Computer Animation, Adventure, Animation, Comedy, Drama, Family, Fantasy",Jun,2015,119.422
191,Hacksaw Ridge,2h 19m,8.1,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_193,734,"Docudrama, Epic, Period Drama, War Epic, Biography, Drama, History, War",Nov,2016,115.042
213,Logan,2h 17m,8.1,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_201,839,"Dystopian Sci-Fi, Road Trip, Superhero, Action, Drama, Sci-Fi, Thriller",Mar,2017,116.202
209,Ford v Ferrari,2h 32m,8.1,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_203,938,"Docudrama, Motorsport, Period Drama, Action, Biography, Drama, Sport",Nov,2019,117.262
170,"Three Billboards Outside Ebbing, Missouri",1h 55m,8.1,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_206,"1,119","Dark Comedy, Satire, Comedy, Crime, Drama",Dec,2017,115.635
218,Spotlight,2h 9m,8.1,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_219,"1,653","Docudrama, Legal Drama, Period Drama, True Crime, Workplace Drama, Biography, Crime, Drama",Nov,2015,116.032
219,Room,1h 58m,8.1,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_222,"2,073","Psychological Drama, Drama, Thriller",Jan,2016,114.444
199,Wild Tales,2h 2m,8.1,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_224,"2,186","Dark Comedy, Comedy, Drama, Thriller",Aug,2014,121.914
